run 1,run 2,run 3,run 4,run 5,run 6
0.0267860316233818,0.025598173958398106,0.02748699075695273,0.031153495839831784,0.028073172082052757,0.026235734543238826
0.02520172415510449,0.02806910815346825,0.029922889264221326,0.027890790635429406,0.024454170442740397,0.024491046867289687
0.02513661074556804,0.02692596202361311,0.031315821293660215,0.029689797529415293,0.023736953429813197,0.024750543225639195
0.025122682326799668,0.028592197964641762,0.032930078783117635,0.029028324346736124,0.02473109734928782,0.02633002428989387
0.030131640218837623,0.03139715080888045,0.03588977117445757,0.029677910171859837,0.024383647372651435,0.024976336392472043
0.027593835390375947,0.02585227942839862,0.028077342527969215,0.031723832663031415,0.026014314696150224,0.027178932576116914
0.02513319212280554,0.027581309296098786,0.03197568668184071,0.028977067291222607,0.02948440124717209,0.025128629939217214
0.02578963690085289,0.02620971429540757,0.031473133919719835,0.033385610982952875,0.02893206737626689,0.029553502774640264
0.025523910016210547,0.0257175580446188,0.0333079176767544,0.031458005435683445,0.030325429816953568,0.028686566375596783
0.02423758058996225,0.027285414126833107,0.03300391058770232,0.030825499462560288,0.02896974992345144,0.029008654942040406
0.028485766107962305,0.026801494107156952,0.029402950454678098,0.03289196219656445,0.029912023053322162,0.0284091993563363
0.029527196048933616,0.028329190086607465,0.028946168972000256,0.032718934226542026,0.029891866118927406,0.02838810960230538
0.025877388023925023,0.029563099546811134,0.029114470887770177,0.033475948111549955,0.03097120905721614,0.023816201419895145
0.025553985821145105,0.030220142915695237,0.042301882167888,0.032035456861252636,0.030896999196811895,0.024429945470138867
0.02532673552370125,0.027749685395074167,0.04222940309621646,0.032076351503700806,0.02562563866474409,0.024076131177518417
0.03002865916215173,0.028515335103434007,0.030982431795474483,0.0345749757935777,0.0256644568921742,0.029589645088263436
0.030129127886294644,0.029633929155743723,0.03161281189032966,0.03312137279812303,0.02535508435599835,0.02961005702199949
0.025141578859899042,0.03090578810497177,0.04718233980862821,0.031598284066115,0.03231483303701655,0.024607174980808343
0.025578635093007552,0.03200591801949563,0.04977256327679257,0.031836422232428635,0.033122107807696186,0.02512101244447187
0.02538533623225192,0.03327597430633432,0.04517534799172274,0.031384107955558904,0.032607693137508977,0.024947687693640676
0.028354715513389923,0.035698843699436975,0.02825914394180782,0.03261683887932333,0.02507792568136819,0.02884349013086255
0.029211818383311397,0.028922667222380804,0.027823352872256842,0.033328213787669106,0.02501908250351689,0.028364802690582308
0.024973129390743774,0.027756948490860134,0.04623359167857665,0.030102744030582895,0.0314791398869485,0.02547084188994103
0.025641196131101687,0.03133320838633589,0.04473219096348764,0.030719370814607096,0.03188978345698631,0.025790154546797252
0.02452806210824081,0.032126396663139566,0.04654496806991184,0.030543216405571186,0.025552001412513417,0.02548033014117331
